Champion's weights loaded
[NN] Attack: 5 (2) -> 3 (2), prob. of success: 0.44367284  (index 1, attacks len: 2)
[NN] Attack: 5 (6) -> 7 (1), prob. of success: 0.99999643  (index 0, attacks len: 4)
[NN] Attack: 23 (2) -> 14 (1), prob. of success: 0.83796296  (index 1, attacks len: 3)
[NN] Attack: 7 (5) -> 2 (4), prob. of success: 0.71807842  (index 1, attacks len: 2)
[NN] Attack: 2 (4) -> 1 (1), prob. of success: 0.99729938  (index 0, attacks len: 3)
[NN] Attack: 1 (3) -> 11 (2), prob. of success: 0.77854938  (index 1, attacks len: 2)
[NN] Attack: 11 (2) -> 9 (1), prob. of success: 0.83796296  (index 0, attacks len: 1)
[NN] Attack: 5 (8) -> 7 (4), prob. of success: 0.98953404  (index 1, attacks len: 3)
[NN] Attack: 7 (7) -> 2 (1), prob. of success: 1.0 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 2 (6) -> 3 (3), prob. of success: 0.97529981  (index 1, attacks len: 3)
[NN] Attack: 3 (5) -> 29 (4), prob. of success: 0.71807842  (index 0, attacks len: 1)
[NN] Attack: 29 (4) -> 1 (2), prob. of success: 0.93923611  (index 0, attacks len: 1)
[NN] Attack: 1 (3) -> 4 (1), prob. of success: 0.97299383  (index 0, attacks len: 1)
[NN] Attack: 23 (8) -> 7 (1), prob. of success: 1.0  (index 0, attacks len: 5)
[NN] Attack: 7 (7) -> 2 (5), prob. of success: 0.86237652  (index 2, attacks len: 4)
[NN] Attack: 2 (6) -> 3 (2), prob. of success: 0.99821685  (index 0, attacks len: 5)
[NN] Attack: 18 (4) -> 19 (1), prob. of success: 0.99729938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 19 (3) -> 20 (2), prob. of success: 0.77854938  (index 1, attacks len: 3)
[NN] Attack: 3 (5) -> 29 (2), prob. of success: 0.9879401  (index 0, attacks len: 1)
[NN] Attack: 29 (4) -> 1 (3), prob. of success: 0.7428305  (index 0, attacks len: 1)
[NN] Attack: 19 (3) -> 27 (2), prob. of success: 0.77854938  (index 0, attacks len: 1)
[NN] Attack: 3 (8) -> 29 (2), prob. of success: 0.99998345  (index 0, attacks len: 5)
[NN] Attack: 29 (7) -> 1 (3), prob. of success: 0.99466336  (index 1, attacks len: 4)
[NN] Attack: 1 (6) -> 4 (2), prob. of success: 0.99821685  (index 0, attacks len: 4)
[NN] Attack: 4 (5) -> 11 (2), prob. of success: 0.9879401  (index 0, attacks len: 4)
[NN] Attack: 18 (2) -> 19 (1), prob. of success: 0.83796296  (index 1, attacks len: 3)
[NN] Attack: 11 (4) -> 14 (1), prob. of success: 0.99729938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 15 (2) -> 18 (1), prob. of success: 0.83796296  (index 2, attacks len: 10)
[NN] Attack: 11 (4) -> 16 (2), prob. of success: 0.93923611  (index 1, attacks len: 4)
[NN] Attack: 10 (3) -> 13 (2), prob. of success: 0.77854938  (index 1, attacks len: 3)
[NN] Attack: 16 (3) -> 14 (1), prob. of success: 0.97299383 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 4 (4) -> 17 (3), prob. of success: 0.7428305  (index 0, attacks len: 1)
[NN] Attack: 1 (8) -> 11 (7), prob. of success: 0.67345564  (index 5, attacks len: 7)
[NN] Attack: 6 (8) -> 23 (2), prob. of success: 0.99998345  (index 2, attacks len: 7)
[NN] Attack: 23 (7) -> 13 (1), prob. of success: 1.0  (index 2, attacks len: 7)
[NN] Attack: 15 (8) -> 18 (4), prob. of success: 0.98953404  (index 1, attacks len: 4)
[NN] Attack: 18 (7) -> 19 (2), prob. of success: 0.99980134  (index 1, attacks len: 3)
[NN] Attack: 11 (7) -> 9 (1), prob. of success: 1.0  (index 0, attacks len: 5)
[NN] Attack: 9 (6) -> 22 (2), prob. of success: 0.99821685  (index 2, attacks len: 6)
[NN] Attack: 19 (6) -> 27 (1), prob. of success: 0.99999643  (index 0, attacks len: 5)
[NN] Attack: 27 (5) -> 24 (2), prob. of success: 0.9879401  (index 0, attacks len: 3)
[NN] Attack: 24 (4) -> 20 (2), prob. of success: 0.93923611  (index 0, attacks len: 3)
[NN] Attack: 22 (5) -> 26 (2), prob. of success: 0.9879401  (index 2, attacks len: 10)
[NN] Attack: 9 (3) -> 17 (1), prob. of success: 0.97299383  (index 2, attacks len: 9)
[NN] Attack: 3 (4) -> 2 (2), prob. of success: 0.93923611  (index 2, attacks len: 6)
[NN] Attack: 2 (3) -> 29 (1), prob. of success: 0.97299383  (index 1, attacks len: 4)
[NN] Attack: 23 (8) -> 14 (6), prob. of success: 0.84387382  (index 1, attacks len: 3)
[NN] Attack: 14 (7) -> 11 (2), prob. of success: 0.99980134  (index 1, attacks len: 4)
[NN] Attack: 11 (6) -> 16 (2), prob. of success: 0.99821685  (index 1, attacks len: 4)
[NN] Attack: 26 (4) -> 24 (1), prob. of success: 0.99729938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 24 (3) -> 27 (2), prob. of success: 0.77854938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 18 (8) -> 19 (7), prob. of success: 0.67345564  (index 0, attacks len: 1)
[NN] Attack: 19 (8) -> 27 (8), prob. of success: 0.47109073  (index 4, attacks len: 6)
[NN] Attack: 2 (5) -> 1 (1), prob. of success: 0.99984997  (index 0, attacks len: 3)
[NN] Attack: 16 (3) -> 20 (2), prob. of success: 0.77854938  (index 0, attacks len: 2)
[NN] Attack: 3 (6) -> 29 (5), prob. of success: 0.69961639  (index 0, attacks len: 1)
[NN] Attack: 1 (8) -> 11 (2), prob. of success: 0.99998345  (index 2, attacks len: 6)
[NN] Attack: 14 (8) -> 16 (1), prob. of success: 1.0  (index 2, attacks len: 6)
[NN] Attack: 18 (8) -> 19 (3), prob. of success: 0.99906917  (index 1, attacks len: 4)
[NN] Attack: 19 (7) -> 27 (3), prob. of success: 0.99466336  (index 1, attacks len: 3)
[NN] Attack: 11 (7) -> 4 (1), prob. of success: 1.0 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 4 (6) -> 17 (3), prob. of success: 0.97529981 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 17 (5) -> 22 (2), prob. of success: 0.9879401 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 11 (7) -> 9 (4), prob. of success: 0.96153588  (index 0, attacks len: 1)
[NN] Attack: 17 (3) -> 9 (1), prob. of success: 0.97299383  (index 4, attacks len: 6)
[NN] Attack: 19 (8) -> 16 (3), prob. of success: 0.99906917  (index 1, attacks len: 3)
[NN] Attack: 27 (8) -> 24 (1), prob. of success: 1.0  (index 0, attacks len: 1)
[NN] Attack: 24 (7) -> 26 (1), prob. of success: 1.0  (index 0, attacks len: 2)
[NN] Attack: 26 (6) -> 22 (5), prob. of success: 0.69961639  (index 0, attacks len: 1)
[NN] Attack: 17 (3) -> 22 (1), prob. of success: 0.97299383  (index 5, attacks len: 6)
[NN] Attack: 9 (7) -> 20 (2), prob. of success: 0.99980134  (index 2, attacks len: 4)
[NN] Attack: 20 (6) -> 24 (1), prob. of success: 0.99999643 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 24 (5) -> 25 (4), prob. of success: 0.71807842  (index 1, attacks len: 2)
[NN] Attack: 24 (6) -> 26 (2), prob. of success: 0.99821685  (index 1, attacks len: 3)
[NN] Attack: 24 (8) -> 25 (3), prob. of success: 0.99906917  (index 0, attacks len: 1)
Total turns: 77, Model made 77 predictions, 10 of them were bad.
Champion's weights loaded
[NN] Attack: 22 (2) -> 21 (1), prob. of success: 0.83796296  (index 5, attacks len: 6)
[NN] Attack: 13 (7) -> 7 (1), prob. of success: 1.0  (index 0, attacks len: 5)
[NN] Attack: 8 (4) -> 33 (2), prob. of success: 0.93923611  (index 5, attacks len: 6)
[NN] Attack: 33 (3) -> 4 (2), prob. of success: 0.77854938  (index 5, attacks len: 7)
[NN] Attack: 7 (6) -> 14 (1), prob. of success: 0.99999643  (index 1, attacks len: 4)
[NN] Attack: 14 (5) -> 15 (1), prob. of success: 0.99984997  (index 0, attacks len: 1)
[NN] Attack: 33 (5) -> 11 (4), prob. of success: 0.71807842  (index 5, attacks len: 7)
[NN] Attack: 7 (8) -> 4 (4), prob. of success: 0.98953404  (index 1, attacks len: 3)
[NN] Attack: 4 (7) -> 9 (2), prob. of success: 0.99980134  (index 1, attacks len: 4)
[NN] Attack: 9 (6) -> 5 (3), prob. of success: 0.97529981  (index 1, attacks len: 3)
[NN] Attack: 5 (5) -> 3 (1), prob. of success: 0.99984997  (index 1, attacks len: 3)
[NN] Attack: 11 (4) -> 17 (2), prob. of success: 0.93923611  (index 0, attacks len: 1)
[NN] Attack: 17 (3) -> 16 (2), prob. of success: 0.77854938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 8 (8) -> 33 (3), prob. of success: 0.99906917  (index 0, attacks len: 5)
[NN] Attack: 33 (7) -> 1 (2), prob. of success: 0.99980134  (index 1, attacks len: 4)
[NN] Attack: 1 (6) -> 10 (1), prob. of success: 0.99999643  (index 0, attacks len: 2)
[NN] Attack: 10 (5) -> 17 (1), prob. of success: 0.99984997  (index 1, attacks len: 3)
[NN] Attack: 17 (4) -> 6 (2), prob. of success: 0.93923611  (index 1, attacks len: 2)
[NN] Attack: 6 (3) -> 12 (1), prob. of success: 0.97299383  (index 1, attacks len: 3)
[NN] Attack: 5 (6) -> 29 (3), prob. of success: 0.97529981  (index 1, attacks len: 4)
[NN] Attack: 33 (7) -> 11 (2), prob. of success: 0.99980134  (index 0, attacks len: 1)
[NN] Attack: 11 (6) -> 17 (3), prob. of success: 0.97529981  (index 0, attacks len: 1)
[NN] Attack: 33 (8) -> 10 (2), prob. of success: 0.99998345  (index 1, attacks len: 4)
[NN] Attack: 10 (7) -> 2 (1), prob. of success: 1.0  (index 0, attacks len: 5)
[NN] Attack: 2 (6) -> 6 (2), prob. of success: 0.99821685  (index 0, attacks len: 1)
[NN] Attack: 6 (5) -> 17 (3), prob. of success: 0.90934714  (index 1, attacks len: 3)
[NN] Attack: 17 (4) -> 23 (1), prob. of success: 0.99729938 [Bad prediction] (index 0, attacks len: 2)
[NN] Attack: 6 (6) -> 12 (3), prob. of success: 0.97529981  (index 1, attacks len: 2)
[NN] Attack: 12 (5) -> 16 (2), prob. of success: 0.9879401  (index 0, attacks len: 1)
[NN] Attack: 16 (4) -> 19 (3), prob. of success: 0.7428305  (index 0, attacks len: 1)
[NN] Attack: 16 (5) -> 17 (4), prob. of success: 0.71807842  (index 3, attacks len: 6)
[NN] Attack: 17 (4) -> 10 (3), prob. of success: 0.7428305  (index 5, attacks len: 6)
[NN] Attack: 10 (3) -> 11 (2), prob. of success: 0.77854938  (index 1, attacks len: 3)
[NN] Attack: 2 (3) -> 6 (2), prob. of success: 0.77854938  (index 0, attacks len: 1)
